PG.ProteinGroups,P0,P50,P150,P300,P300_24
Q13526,-23.2534966642115,-5.55168828842823,-4.53598550519304,-4.14024650497014,-5.10730793850275
Q969G2,-23.2534966642115,-3.79759570451094,-2.42689163955932,-1.42040904642435,-2.03614668134655
Q9NZV5,-5.61188975499058,-3.81165801109744,-4.51880142092775,-2.95044107698583,-3.12954113835612
Q08174,-8.33908755481884,-3.82113753664881,-3.68736267203822,-2.51465720665811,-4.03996938529747
Q6VAB6,-12.6990528282375,-5.16776360606673,-3.49891290809522,-3.59016630283548,-4.32690705295933
Q96GS4,-23.2534966642115,-6.00370726609085,-6.07203570863796,-5.6365778957753,-6.3717391951848
Q96DE0,-23.2534966642115,-4.6380795234155,-4.19029009716192,-3.73926480450774,-4.92702430123845
Q5T3F8,-7.42439279727096,-4.30598248487376,-3.22258895216404,-3.00020723832321,-3.77935198982227
Q9HCN4,-23.2534966642115,-6.27486967953686,-5.76667905280968,-3.77557512995432,-6.2181408718492
Q9UI10,-23.2534966642115,-5.99497541940156,-4.77771365197048,-4.2225509144073,-5.61521585776601
Q8N158,-15.1986326513807,-5.04649885548033,-4.74286230224875,-3.88523119396767,-4.49496052340006
Q15262,-14.4757571748939,-3.40782224680631,-3.59052616384188,-2.47316452543119,-2.43296289050467
Q5T7V8,-0.228668366729349,-12.112191604086,-0.627026493150281,-0.631911626117786,-0.792798069409353
Q14728,-13.8902484711919,-6.41994657093923,-5.45973221317067,-4.48060085251762,-5.10796106941349
P57678,-8.70826454090563,-5.3863960148183,-4.80927032449708,-4.92725137643062,-6.4394235339447
Q9P2G1,-16.831365896739,-5.56055413146032,-5.15575762025499,-5.5592763793173,-6.34988930494366
O00264,-11.718601668043,-4.90162985952573,NA,-4.21034227385308,-5.10067792161206
Q6PID6,-23.2534966642115,-4.81585708727176,-3.31293339926154,-2.77016727726708,-3.35274751663481
Q8IUL8,-13.9583203730662,-4.00266863763231,-3.98297532972036,NA,-5.97207015863475
Q9P2R3,-12.991118031532,-6.07001805488008,-6.06570189634769,-5.44268200046149,-8.112803699827
Q6YN16,-23.2534966642115,1.16377684994617,NA,-2.00431208818876,0.053932094105128
P07741,-23.2534966642115,-5.7402250933318,-5.54474982741091,-4.56706867141191,-6.39972497822335
P18669,-9.79785363128041,-8.58644340960526,-8.56380782818097,-8.65618106562517,-8.75995498503047
P56159,-11.5268123559461,-4.41619926486121,-3.19247702680048,-2.38290242275735,-2.9014373957799
Q9Y693,-17.5050213734882,-3.92590906383184,NA,-2.9098318742488,NA
Q14651,-1.62748473687465,-3.40880596999987,-3.42929053044339,-3.07023888197522,-4.0671000995347
Q86UN3,-13.0788927631817,-4.01911628597441,-5.24569554255742,-2.92865797351213,-3.59472199783321
Q9H444,-8.61796948473587,-5.11186374168549,-5.68105198162977,-4.96794660772101,-4.92838512553891
Q7L775,-23.2534966642115,-4.93482632779887,-4.06495736913251,-3.86023550199694,-4.67871942495635
O75182,-23.2534966642115,-4.07632588877697,-3.44876775330114,-4.54788251559147,-4.18940719259754
Q9H307,-5.9804185186122,-10.0002120582844,-5.25613695738578,-5.89948553516045,-6.06282439366673
P68106,-23.2534966642115,-5.25595670575451,-3.79825938672625,-3.66542892307754,-4.26753569399625
O60422,-2.98131746299679,-1.73364241283635,-2.19331456658747,-0.820257341275053,-1.06229612685941
O43639,-11.0206051966999,-3.90476616427368,-5.28552604573497,-3.63302855820051,-4.24869354462188
Q53FT3,-14.8499207341885,-6.5122659572189,-5.45953521602829,-4.6890535218622,-7.34925293252714
P48051,-1.99273052876716,-8.90300870787839,-3.11396785603772,-3.28146880975838,-2.59530268022984
Q12926,-23.2534966642115,-4.48584036595878,-3.58401669776316,-3.07384626567272,-3.71561134132572
Q06136,-12.0249933357581,-7.18836642881315,-6.07849157726471,-6.19273436175363,-6.12483256008003
Q13838,-17.9203388847484,-8.98036710578058,-8.94379687768952,-4.80192220158895,-3.79730891915787
Q9UHR5,-23.2534966642115,-4.89833678863428,-4.43504024330558,-3.81646025289068,-4.87027596479525
Q8IXK0,-7.03115180751436,-3.75231658973876,-2.54129695066908,-1.94714421492179,-2.96644439606324
Q9BU61,-13.5787063630512,-1.94832543872101,-2.96256453428234,-3.36593496522715,-5.69695116339653
Q9BR01,-2.10937247031474,-0.647791227206761,-1.8996745484353,-0.730932422374503,-0.969775219876821
Q15257,-10.7878645607157,-6.04782659842261,NA,NA,NA
O00233,-23.2534966642115,-5.73728431995725,-4.51473700299665,-3.76828563464965,-5.31342413941926
Q9ULK4,-14.8913467461032,-5.48652233590244,-7.86165984164359,-4.58412513159497,-4.77689048073663
Q96FT7,-23.2534966642115,-5.90707644476375,-5.12985687282895,-5.90495173396923,-6.89229969698484
O43602,-13.2420722426098,-4.52286461299493,-3.85749919493971,-3.14169062969899,-4.35416036072674
Q9BX66,-17.0161888640767,-4.89040026180222,-3.87514354155803,-4.44437379760739,-6.53976726207907
Q9P0J7,-12.1200779842323,-4.4969952199192,-3.82432421269006,-4.14867412356409,-4.71479407368506
P52597,-13.5229962002763,-7.43705695498597,NA,-6.7279119891827,NA
Q5VTL8,-23.2534966642115,-4.98700916422683,-4.08706278974635,-4.10734242912668,-4.63502566252062
Q9P2G3,-12.0469207717302,-4.74724641243638,-4.14548707592234,-2.54498046587574,-3.77753105327013
O95336,-23.2534966642115,-6.2034444887731,-5.4449737269594,-5.00668411210642,-6.45929400580413
O00451,-23.2534966642115,-5.05976798066836,-3.30913493795352,-3.08568724999644,-4.59989841999013
A6NJT0,-10.1385414993141,-2.91011361863929,-2.06762253663612,-1.3754351092855,-1.39164515014711
Q9C0D9,-5.20791483031762,-19.3755035324385,-23.2534966642115,-23.2534966642115,-17.0612356841785
Q8NI37,-5.55491101059711,-0.875292419168215,-1.41454147766356,-23.2534966642115,-23.2534966642115
Q06587,-23.2534966642115,-4.35602416123847,-3.87252285818652,-2.60143067216758,-3.75521443870523
O75038,-3.91508988247117,-2.34947288974666,-3.711780224484,-3.47996727332007,-3.87395184092373
Q8TEW0,-16.4206249554652,-4.77803493264632,-3.70988270262168,NA,NA
Q8IYB1,-15.4308674845034,-5.0737061299924,-3.57489720350399,-4.42701454429967,-5.4104891546702
Q08554,-0.155437828117824,-23.2534966642115,-23.2534966642115,-1.05283088319641,-4.01963387079177
Q13596,-11.4561697307355,-5.71336202097337,-7.4098325308538,-4.78274257203311,-5.25464099736289
Q16799,-15.1141157012971,-6.12258684480949,-5.86095500535667,-6.54317874291543,-8.15844982247243
O14628,-4.31383618184235,-3.42518359967006,-2.21964883317137,-2.28044879566585,-1.84091744042462
Q9HBE1,-12.6116297089505,-2.32645170346349,-1.72162074265625,-1.13745554435734,-1.72709346852159
O43929,-6.58759277430491,-2.89458162463875,-2.31470671152226,-3.03492248568072,-3.03333274822517
Q9HCJ2,-23.2534966642115,-0.394979795928681,-1.20343425734731,NA,-1.63402815020534
Q8N8L6,-12.2021915515103,-3.78554907317046,-4.61859560278699,-2.31258058457411,-2.93102564319789
Q9UQ03,-11.5622541607299,-6.17176766820556,-7.89759039299446,-7.84791881207052,-7.80388599059421
Q9P2N5,-23.2534966642115,-4.03152137147136,-3.61211789662772,-3.6161972535422,-3.85378923975554
Q9H6J7,0.0196734523617652,0.61572974474769,-1.14891029275887,0.171639128743455,0.362739693791525
Q9NYQ7,-11.7067352139719,-5.78818706330201,-4.33827035776386,-3.8072948418081,-4.31103542303218
Q13501,-5.95746589630174,-4.67124886301195,-4.85763877985607,-0.803673992982336,0.192055317920794
Q9NZ53,-12.9292622077519,-3.65042738546007,-4.51966647353793,-2.97529884190668,-3.91857935765272
P46379,-12.5996599201248,-4.41438677779324,-3.82495556844875,-2.92398851931178,-3.8668162700255
Q6T4R5,0.321237658054076,-23.2534966642115,-23.2534966642115,-23.2534966642115,-23.2534966642115
Q9H496,-15.4366448985582,-4.4699841100473,-3.68240865501348,-3.06531040340964,-3.49950273691402
P02786,-15.2754713453498,-4.77445466910024,-4.4351155398506,-3.19690482886163,-4.62189440221805
Q8WUU5,-14.8478046837185,-4.37228202919685,-4.51273271944574,-4.47730583278134,-4.80105830550916
A1L020,-13.5503631147199,-3.59996413093408,-3.11030686593541,-3.76935031700442,-3.98361234265497
Q9ULI4,-13.3470644096557,-4.19559841312185,-2.81039123970275,-2.56898226953851,-2.9855778500451
Q9Y376,-13.2349405885377,-4.61481713282783,-4.40767832834971,-4.04917299510771,-5.19949408815608
P24666,-7.32741588455971,-5.01436793744881,-4.72775598343954,-3.97696460890186,-5.3612069909234
Q92558,-12.2818047495902,-6.1019353790553,-4.33252564663966,-4.72671163798334,-5.6042238494874
Q9UP83,-9.06218341599039,-7.17875371689548,NA,-6.32158388036374,-7.24202223672332
Q9Y4F3,-13.4460550975675,-3.9655744203456,-4.2243867067865,-5.29999382823467,-3.49599847523407
O94868,-5.46720482546329,-2.87211905610159,-3.59342141486464,-2.43686637079588,-2.74473267035283
Q8WUN7,-9.47072530442513,-2.26186829924748,-2.92514791845581,NA,NA
Q16706,-4.03655922559176,-2.1302673458591,-3.99464473501124,-2.8566975076704,-2.97300821058275
Q15126,-23.2534966642115,-5.39791729764767,-4.6104678438666,-4.40523033327851,-7.6399799717406
Q16718,-5.83721491602744,-4.09988303499179,-3.67650696074184,-3.57944174290256,-4.15795417366922
Q9BRD0,-5.16467136534677,-3.68027957736523,-4.33393295803867,-3.0696434041762,-3.58600365461256
Q12797,-3.72569229074927,-2.04715978702211,-3.29487291190287,-2.62554273095847,-2.59908765432289
Q86VW0,-8.29519890313959,-3.8853281222235,-3.76157480736589,-3.42532116819583,-5.03343491876924
Q8WTW4,-0.556407968405253,-9.03098607848696,-10.7665533961114,-2.71273868640413,-3.36405310017086
O94953,-14.7432463355339,-3.90385997653696,-2.46491342589851,-2.19299049651482,-3.08305195988377
P36954,-9.63097206838968,-5.109677925805,NA,-3.93166276984238,-5.09766950470917
Q8NFP4,-13.8463119514061,-6.34142208537093,-6.68481195324634,-4.84514216987194,-5.82294587971674
O15173,-11.8603815135114,-5.20291454843528,-3.98091096230293,-3.61023787425747,-5.06151403313016
P08243,-12.1253783604707,-8.13446147966078,-8.04865936806088,-5.69209709793415,-5.89459915470181
Q13569,-7.89647689434212,-3.05544939525042,-2.88834468407785,-2.25780813519567,-2.8920311128011
Q9C0I3,-1.32126581182036,-0.184042951435349,0.282224663372221,0.008977429734518,0.0091702845563739
Q02543,-8.7282766967875,-6.2691861527701,-5.3007381607053,-5.16504355842831,-5.63416094860284
Q9NRW7,-11.0805768301672,-4.63763407608256,-4.34573806251605,-4.14932770693567,-4.87723059592983
P16298,-23.2534966642115,-5.75997853601655,-4.95897681734835,-4.8836507226485,-5.61310690447489
P18074,-11.3248413638488,-4.54847182206714,NA,-3.7002390019824,-5.51275951200518
Q96K37,-23.2534966642115,-4.75609735938157,-4.01875121053125,-4.13298037022512,-4.72152306735226
Q8WYK1,-13.8081327141966,-4.16642785788014,-3.43759695893676,-2.24155677059103,-3.40237269509389
Q13825,-12.3802541877634,-4.75124420741517,NA,-6.07219779000892,-6.41666555479013
Q6Y7W6,-18.9346744394985,-4.26804382572065,-3.7257246384683,-5.17286722121602,-4.89410908843334
O15068,-23.2534966642115,-4.5712108474654,-3.94796351642697,-3.21797569255357,-5.44398714746285
P16949,-9.88685348909747,-6.3464869959022,-6.07817961585135,-5.20403120159799,-7.74768709608657
Q15560,-13.8142750945819,-1.60901720130601,-2.21273198888244,-1.60620066957713,-1.8793554838337
O15213,-8.80911822654194,-5.70582667822006,-4.61744296165806,-4.27186800484244,-5.11074835343786
P31930,-8.89371182101399,-6.492744045564,-5.69162138182639,-5.55971836639836,-6.18641964732688
Q8N1G4,-23.2534966642115,-6.10784275102805,-4.92282917683293,-4.48674813496866,-6.05615755931401
P28799,-0.899061698155586,-0.471139818454352,-0.396061779948635,-0.0014535340747894,-0.0397931339860629
O94952,-13.0231428425885,-3.1225949369656,-4.50395614628223,-2.44128326915183,-4.13844450359129
Q9UKE5,-5.18723231879331,-3.24939161585197,-2.73842288766258,-2.75571226035654,-3.40319994792172
O75385,-15.2840301258122,-2.55944359202953,-2.90042424702994,-2.63419044676851,-2.42820219648813
P25705,-23.2534966642115,-7.29362044530272,-7.54025176771452,-4.88915496264624,-5.87550430013639
Q5JU85,-12.3093697799368,-1.54428110844711,-1.39119191823169,-2.1170674396996,-2.11622578080178
Q9NQG5,-23.2534966642115,-4.93502344028199,-3.91459007755966,-3.82748126198041,-4.31929551508055
Q6ZN54,-3.07223178342924,-1.7161228026263,-1.72966105690455,-1.378173877282,-0.784645853853242
Q99873,-10.5899900660451,-6.67080495410953,-5.30215246691939,-5.72307544362389,-6.78889393601736
P55011,-5.32885783522265,-4.11986484729148,-3.23083612307925,-4.16845494022766,-4.65128272519398
P43004,-13.6931424307388,-5.49459784888336,-7.91676817206014,-4.86706843897347,-5.00294829355344
Q12765,-23.2534966642115,-5.96612456270723,-4.77510586968542,-4.54651163491812,-5.5943731848452
O75390,-16.1096541447196,-7.8488883424606,-7.69543393592335,NA,NA
Q86V97,-9.56202276308935,-4.60895742962285,NA,NA,NA
O75093,-23.2534966642115,-4.09055666328423,-2.60675967525343,-2.86544815587022,-2.89210258004423
P62701,-23.2534966642115,-8.61392395090933,-8.52225579618814,-7.37268083898759,NA
P35222,-16.7384716100062,-3.92935890397359,-3.55269813452813,-3.06299823801081,-3.88120903979111
P48730,-13.7939922287461,-3.03361659101551,-2.66627207716209,-2.54265717731188,-2.43442141285946
Q9H1V8,-3.23639570908415,-4.5057989398677,-2.15051640954169,-2.9788579976857,-2.97732882183385
Q99733,-11.1138488750582,-8.45766889390882,-7.96320918247836,-6.71963239940412,-7.4156740326476
Q96A35,-12.2126328686917,-5.81352360320248,-5.08524563052868,-4.67428551755189,-4.80257145074727
Q9Y5R8,1.1976840808168,1.70089871987579,1.69578775786437,1.8248634426609,1.94100211409634
Q9H4A3,-8.89440327343729,-4.66358047681996,-10.8187427434989,-4.11529475578969,-3.88277966719327
Q9Y2B0,-23.2534966642115,-7.19556778108081,-4.87424772399408,-5.84580282345904,-6.39265031294584
Q13492,-6.38052406697165,-4.71992992141183,-4.83460457125627,-4.67152694222044,-5.5769521273817
